zin/het-is	Het is
tijd/04-30	Half vijf.
tijd/04-31	Één minuut over half vijf.
tijd/04-32	Twee minuten over half vijf.
tijd/04-33	Drie minuten over half vijf.
tijd/04-34	Vier minuten over half vijf.
tijd/04-35	Vijf over half vijf.
tijd/04-36	Zes minuten over half vijf.
tijd/04-37	Zeven minuten over half vijf.
tijd/04-38	Acht minuten over half vijf.
tijd/04-39	Negen minuten over half vijf.
tijd/04-40	Tien over half vijf.
tijd/04-41	Elf minuten over half vijf.
tijd/04-42	Twaalf minuten over half vijf.
tijd/04-43	Dertien minuten over half vijf.
tijd/04-44	Veertien minuten over half vijf.
tijd/04-45	Kwart voor vijf.
tijd/04-46	Veertien minuten voor vijf.
tijd/04-47	Dertien minuten voor vijf.
tijd/04-48	Twaalf minuten voor vijf.
tijd/04-49	Elf minuten voor vijf.
tijd/04-50	Tien voor vijf.
tijd/04-51	Negen minuten voor vijf.
tijd/04-52	Acht minuten voor vijf.
tijd/04-53	Zeven minuten voor vijf.
tijd/04-54	Zes minuten voor vijf.
tijd/04-55	Vijf voor vijf.
tijd/04-56	Vier minuten voor vijf.
tijd/04-57	Drie minuten voor vijf.
tijd/04-58	Twee minuten voor vijf.
tijd/04-59	Één minuut voor vijf.
tijd/05-00	Vijf uur.
tijd/05-01	Één minuut over vijf.
tijd/05-02	Twee minuten over vijf.
tijd/05-03	Drie minuten over vijf.
tijd/05-04	Vier minuten over vijf.
tijd/05-05	Vijf over vijf.
tijd/05-06	Zes minuten over vijf.
tijd/05-07	Zeven minuten over vijf.
tijd/05-08	Acht minuten over vijf.
tijd/05-09	Negen minuten over vijf.
tijd/05-10	Tien over vijf.
tijd/05-11	Elf minuten over vijf.
tijd/05-12	Twaalf minuten over vijf.
tijd/05-13	Dertien minuten over vijf.
tijd/05-14	Veertien minuten over vijf.
tijd/05-15	Kwart over vijf.
tijd/05-16	Veertien minuten voor half zes.
tijd/05-17	Dertien minuten voor half zes.
tijd/05-18	Twaalf minuten voor half zes.
tijd/05-19	Elf minuten voor half zes.
tijd/05-20	Tien voor half zes.
tijd/05-21	Negen minuten voor half zes.
tijd/05-22	Acht minuten voor half zes.
tijd/05-23	Zeven minuten voor half zes.
tijd/05-24	Zes minuten voor half zes.
tijd/05-25	Vijf voor half zes.
tijd/05-26	Vier minuten voor half zes.
tijd/05-27	Drie minuten voor half zes.
tijd/05-28	Twee minuten voor half zes.
tijd/05-29	Één minuut voor half zes.
tijd/05-30	Half zes.
tijd/05-31	Één minuut over half zes.
tijd/05-32	Twee minuten over half zes.
tijd/05-33	Drie minuten over half zes.
tijd/05-34	Vier minuten over half zes.
tijd/05-35	Vijf over half zes.
tijd/05-36	Zes minuten over half zes.
tijd/05-37	Zeven minuten over half zes.
tijd/05-38	Acht minuten over half zes.
tijd/05-39	Negen minuten over half zes.
tijd/05-40	Tien over half zes.
tijd/05-41	Elf minuten over half zes.
tijd/05-42	Twaalf minuten over half zes.
tijd/05-43	Dertien minuten over half zes.
tijd/05-44	Veertien minuten over half zes.
tijd/05-45	Kwart voor zes.
tijd/05-46	Veertien minuten voor zes.
tijd/05-47	Dertien minuten voor zes.
tijd/05-48	Twaalf minuten voor zes.
tijd/05-49	Elf minuten voor zes.
tijd/05-50	Tien voor zes.
tijd/05-51	Negen minuten voor zes.
tijd/05-52	Acht minuten voor zes.
tijd/05-53	Zeven minuten voor zes.
tijd/05-54	Zes minuten voor zes.
tijd/05-55	Vijf voor zes.
tijd/05-56	Vier minuten voor zes.
tijd/05-57	Drie minuten voor zes.
tijd/05-58	Twee minuten voor zes.
tijd/05-59	Één minuut voor zes.
tijd/06-00	Zes uur.
tijd/06-01	Één minuut over zes.
tijd/06-02	Twee minuten over zes.
tijd/06-03	Drie minuten over zes.
tijd/06-04	Vier minuten over zes.
tijd/06-05	Vijf over zes.
tijd/06-06	Zes minuten over zes.
tijd/06-07	Zeven minuten over zes.
tijd/06-08	Acht minuten over zes.
tijd/06-09	Negen minuten over zes.
tijd/06-10	Tien over zes.
tijd/06-11	Elf minuten over zes.
tijd/06-12	Twaalf minuten over zes.
tijd/06-13	Dertien minuten over zes.
tijd/06-14	Veertien minuten over zes.
tijd/06-15	Kwart over zes.
tijd/06-16	Veertien minuten voor half zeven.
tijd/06-17	Dertien minuten voor half zeven.
tijd/06-18	Twaalf minuten voor half zeven.
tijd/06-19	Elf minuten voor half zeven.
tijd/06-20	Tien voor half zeven.
tijd/06-21	Negen minuten voor half zeven.
tijd/06-22	Acht minuten voor half zeven.
tijd/06-23	Zeven minuten voor half zeven.
tijd/06-24	Zes minuten voor half zeven.
tijd/06-25	Vijf voor half zeven.
tijd/06-26	Vier minuten voor half zeven.
tijd/06-27	Drie minuten voor half zeven.
tijd/06-28	Twee minuten voor half zeven.
tijd/06-29	Één minuut voor half zeven.
tijd/06-30	Half zeven.
tijd/06-31	Één minuut over half zeven.
tijd/06-32	Twee minuten over half zeven.
tijd/06-33	Drie minuten over half zeven.
tijd/06-34	Vier minuten over half zeven.
tijd/06-35	Vijf over half zeven.
tijd/06-36	Zes minuten over half zeven.
tijd/06-37	Zeven minuten over half zeven.
tijd/06-38	Acht minuten over half zeven.
tijd/06-39	Negen minuten over half zeven.
tijd/06-40	Tien over half zeven.
tijd/06-41	Elf minuten over half zeven.
tijd/06-42	Twaalf minuten over half zeven.
tijd/06-43	Dertien minuten over half zeven.
tijd/06-44	Veertien minuten over half zeven.
tijd/06-45	Kwart voor zeven.
tijd/06-46	Veertien minuten voor zeven.
tijd/06-47	Dertien minuten voor zeven.
tijd/06-48	Twaalf minuten voor zeven.
tijd/06-49	Elf minuten voor zeven.
tijd/06-50	Tien voor zeven.
tijd/06-51	Negen minuten voor zeven.
tijd/06-52	Acht minuten voor zeven.
tijd/06-53	Zeven minuten voor zeven.
tijd/06-54	Zes minuten voor zeven.
tijd/06-55	Vijf voor zeven.
tijd/06-56	Vier minuten voor zeven.
tijd/06-57	Drie minuten voor zeven.
tijd/06-58	Twee minuten voor zeven.
tijd/06-59	Één minuut voor zeven.
tijd/07-00	Zeven uur.
tijd/07-01	Één minuut over zeven.
tijd/07-02	Twee minuten over zeven.
tijd/07-03	Drie minuten over zeven.
tijd/07-04	Vier minuten over zeven.
tijd/07-05	Vijf over zeven.
tijd/07-06	Zes minuten over zeven.
tijd/07-07	Zeven minuten over zeven.
tijd/07-08	Acht minuten over zeven.
tijd/07-09	Negen minuten over zeven.
tijd/07-10	Tien over zeven.
tijd/07-11	Elf minuten over zeven.
tijd/07-12	Twaalf minuten over zeven.
tijd/07-13	Dertien minuten over zeven.
tijd/07-14	Veertien minuten over zeven.
tijd/07-15	Kwart over zeven.
tijd/07-16	Veertien minuten voor half acht.
tijd/07-17	Dertien minuten voor half acht.
tijd/07-18	Twaalf minuten voor half acht.
tijd/07-19	Elf minuten voor half acht.
tijd/07-20	Tien voor half acht.
tijd/07-21	Negen minuten voor half acht.
tijd/07-22	Acht minuten voor half acht.
tijd/07-23	Zeven minuten voor half acht.
tijd/07-24	Zes minuten voor half acht.
tijd/07-25	Vijf voor half acht.
tijd/07-26	Vier minuten voor half acht.
tijd/07-27	Drie minuten voor half acht.
tijd/07-28	Twee minuten voor half acht.
tijd/07-29	Één minuut voor half acht.
tijd/07-30	Half acht.
tijd/07-31	Één minuut over half acht.
tijd/07-32	Twee minuten over half acht.
tijd/07-33	Drie minuten over half acht.
tijd/07-34	Vier minuten over half acht.
tijd/07-35	Vijf over half acht.
tijd/07-36	Zes minuten over half acht.
tijd/07-37	Zeven minuten over half acht.
tijd/07-38	Acht minuten over half acht.
tijd/07-39	Negen minuten over half acht.
tijd/07-40	Tien over half acht.
tijd/07-41	Elf minuten over half acht.
tijd/07-42	Twaalf minuten over half acht.
tijd/07-43	Dertien minuten over half acht.
tijd/07-44	Veertien minuten over half acht.
tijd/07-45	Kwart voor acht.
tijd/07-46	Veertien minuten voor acht.
tijd/07-47	Dertien minuten voor acht.
tijd/07-48	Twaalf minuten voor acht.
tijd/07-49	Elf minuten voor acht.
tijd/07-50	Tien voor acht.
tijd/07-51	Negen minuten voor acht.
tijd/07-52	Acht minuten voor acht.
tijd/07-53	Zeven minuten voor acht.
tijd/07-54	Zes minuten voor acht.
tijd/07-55	Vijf voor acht.
tijd/07-56	Vier minuten voor acht.
tijd/07-57	Drie minuten voor acht.
tijd/07-58	Twee minuten voor acht.
tijd/07-59	Één minuut voor acht.
tijd/08-00	Acht uur.
tijd/08-01	Één minuut over acht.
tijd/08-02	Twee minuten over acht.
tijd/08-03	Drie minuten over acht.
tijd/08-04	Vier minuten over acht.
tijd/08-05	Vijf over acht.
tijd/08-06	Zes minuten over acht.
tijd/08-07	Zeven minuten over acht.
tijd/08-08	Acht minuten over acht.
tijd/08-09	Negen minuten over acht.
tijd/08-10	Tien over acht.
tijd/08-11	Elf minuten over acht.
tijd/08-12	Twaalf minuten over acht.
tijd/08-13	Dertien minuten over acht.
tijd/08-14	Veertien minuten over acht.
tijd/08-15	Kwart over acht.
tijd/08-16	Veertien minuten voor half negen.
tijd/08-17	Dertien minuten voor half negen.
tijd/08-18	Twaalf minuten voor half negen.
tijd/08-19	Elf minuten voor half negen.
tijd/08-20	Tien voor half negen.
tijd/08-21	Negen minuten voor half negen.
tijd/08-22	Acht minuten voor half negen.
tijd/08-23	Zeven minuten voor half negen.
tijd/08-24	Zes minuten voor half negen.
tijd/08-25	Vijf voor half negen.
tijd/08-26	Vier minuten voor half negen.
tijd/08-27	Drie minuten voor half negen.
tijd/08-28	Twee minuten voor half negen.
tijd/08-29	Één minuut voor half negen.
tijd/08-30	Half negen.
tijd/08-31	Één minuut over half negen.
tijd/08-32	Twee minuten over half negen.
tijd/08-33	Drie minuten over half negen.
tijd/08-34	Vier minuten over half negen.
tijd/08-35	Vijf over half negen.
tijd/08-36	Zes minuten over half negen.
tijd/08-37	Zeven minuten over half negen.
tijd/08-38	Acht minuten over half negen.
tijd/08-39	Negen minuten over half negen.
tijd/08-40	Tien over half negen.
tijd/08-41	Elf minuten over half negen.
tijd/08-42	Twaalf minuten over half negen.
tijd/08-43	Dertien minuten over half negen.
tijd/08-44	Veertien minuten over half negen.
tijd/08-45	Kwart voor negen.
tijd/08-46	Veertien minuten voor negen.
tijd/08-47	Dertien minuten voor negen.
tijd/08-48	Twaalf minuten voor negen.
tijd/08-49	Elf minuten voor negen.
tijd/08-50	Tien voor negen.
tijd/08-51	Negen minuten voor negen.
tijd/08-52	Acht minuten voor negen.
tijd/08-53	Zeven minuten voor negen.
tijd/08-54	Zes minuten voor negen.
tijd/08-55	Vijf voor negen.
tijd/08-56	Vier minuten voor negen.
tijd/08-57	Drie minuten voor negen.
tijd/08-58	Twee minuten voor negen.
tijd/08-59	Één minuut voor negen.
tijd/09-00	Negen uur.
tijd/09-01	Één minuut over negen.
tijd/09-02	Twee minuten over negen.
tijd/09-03	Drie minuten over negen.
tijd/09-04	Vier minuten over negen.
tijd/09-05	Vijf over negen.
tijd/09-06	Zes minuten over negen.
tijd/09-07	Zeven minuten over negen.
tijd/09-08	Acht minuten over negen.
tijd/09-09	Negen minuten over negen.
tijd/09-10	Tien over negen.
tijd/09-11	Elf minuten over negen.
tijd/09-12	Twaalf minuten over negen.
tijd/09-13	Dertien minuten over negen.
tijd/09-14	Veertien minuten over negen.
tijd/09-15	Kwart over negen.
tijd/09-16	Veertien minuten voor half tien.
tijd/09-17	Dertien minuten voor half tien.
tijd/09-18	Twaalf minuten voor half tien.
tijd/09-19	Elf minuten voor half tien.
tijd/09-20	Tien voor half tien.
tijd/09-21	Negen minuten voor half tien.
tijd/09-22	Acht minuten voor half tien.
tijd/09-23	Zeven minuten voor half tien.
tijd/09-24	Zes minuten voor half tien.
tijd/09-25	Vijf voor half tien.
tijd/09-26	Vier minuten voor half tien.
tijd/09-27	Drie minuten voor half tien.
tijd/09-28	Twee minuten voor half tien.
tijd/09-29	Één minuut voor half tien.
tijd/09-30	Half tien.
tijd/09-31	Één minuut over half tien.
tijd/09-32	Twee minuten over half tien.
tijd/09-33	Drie minuten over half tien.
tijd/09-34	Vier minuten over half tien.
tijd/09-35	Vijf over half tien.
tijd/09-36	Zes minuten over half tien.
tijd/09-37	Zeven minuten over half tien.
tijd/09-38	Acht minuten over half tien.
tijd/09-39	Negen minuten over half tien.
tijd/09-40	Tien over half tien.
tijd/09-41	Elf minuten over half tien.
tijd/09-42	Twaalf minuten over half tien.
tijd/09-43	Dertien minuten over half tien.
tijd/09-44	Veertien minuten over half tien.
tijd/09-45	Kwart voor tien.
tijd/09-46	Veertien minuten voor tien.
tijd/09-47	Dertien minuten voor tien.
tijd/09-48	Twaalf minuten voor tien.
tijd/09-49	Elf minuten voor tien.
tijd/09-50	Tien voor tien.
tijd/09-51	Negen minuten voor tien.
tijd/09-52	Acht minuten voor tien.
tijd/09-53	Zeven minuten voor tien.
tijd/09-54	Zes minuten voor tien.
tijd/09-55	Vijf voor tien.
tijd/09-56	Vier minuten voor tien.
tijd/09-57	Drie minuten voor tien.
tijd/09-58	Twee minuten voor tien.
tijd/09-59	Één minuut voor tien.
tijd/10-00	Tien uur.
tijd/10-01	Één minuut over tien.
tijd/10-02	Twee minuten over tien.
tijd/10-03	Drie minuten over tien.
tijd/10-04	Vier minuten over tien.
tijd/10-05	Vijf over tien.
tijd/10-06	Zes minuten over tien.
tijd/10-07	Zeven minuten over tien.
tijd/10-08	Acht minuten over tien.
tijd/10-09	Negen minuten over tien.
tijd/10-10	Tien over tien.
tijd/10-11	Elf minuten over tien.
tijd/10-12	Twaalf minuten over tien.
tijd/10-13	Dertien minuten over tien.
tijd/10-14	Veertien minuten over tien.
tijd/10-15	Kwart over tien.
tijd/10-16	Veertien minuten voor half elf.
tijd/10-17	Dertien minuten voor half elf.
tijd/10-18	Twaalf minuten voor half elf.
tijd/10-19	Elf minuten voor half elf.
tijd/10-20	Tien voor half elf.
tijd/10-21	Negen minuten voor half elf.
tijd/10-22	Acht minuten voor half elf.
tijd/10-23	Zeven minuten voor half elf.
tijd/10-24	Zes minuten voor half elf.
tijd/10-25	Vijf voor half elf.
tijd/10-26	Vier minuten voor half elf.
tijd/10-27	Drie minuten voor half elf.
tijd/10-28	Twee minuten voor half elf.
tijd/10-29	Één minuut voor half elf.
tijd/10-30	Half elf.
tijd/10-31	Één minuut over half elf.
tijd/10-32	Twee minuten over half elf.
tijd/10-33	Drie minuten over half elf.
tijd/10-34	Vier minuten over half elf.
tijd/10-35	Vijf over half elf.
tijd/10-36	Zes minuten over half elf.
tijd/10-37	Zeven minuten over half elf.
tijd/10-38	Acht minuten over half elf.
tijd/10-39	Negen minuten over half elf.
tijd/10-40	Tien over half elf.
tijd/10-41	Elf minuten over half elf.
tijd/10-42	Twaalf minuten over half elf.
tijd/10-43	Dertien minuten over half elf.
tijd/10-44	Veertien minuten over half elf.
tijd/10-45	Kwart voor elf.
tijd/10-46	Veertien minuten voor elf.
tijd/10-47	Dertien minuten voor elf.
tijd/10-48	Twaalf minuten voor elf.
tijd/10-49	Elf minuten voor elf.
tijd/10-50	Tien voor elf.
tijd/10-51	Negen minuten voor elf.
tijd/10-52	Acht minuten voor elf.
tijd/10-53	Zeven minuten voor elf.
tijd/10-54	Zes minuten voor elf.
tijd/10-55	Vijf voor elf.
tijd/10-56	Vier minuten voor elf.
tijd/10-57	Drie minuten voor elf.
tijd/10-58	Twee minuten voor elf.
tijd/10-59	Één minuut voor elf.
tijd/11-00	Elf uur.
tijd/11-01	Één minuut over elf.
tijd/11-02	Twee minuten over elf.
tijd/11-03	Drie minuten over elf.
tijd/11-04	Vier minuten over elf.
tijd/11-05	Vijf over elf.
tijd/11-06	Zes minuten over elf.
tijd/11-07	Zeven minuten over elf.
tijd/11-08	Acht minuten over elf.
tijd/11-09	Negen minuten over elf.
tijd/11-10	Tien over elf.
tijd/11-11	Elf minuten over elf.
tijd/11-12	Twaalf minuten over elf.
tijd/11-13	Dertien minuten over elf.
tijd/11-14	Veertien minuten over elf.
tijd/11-15	Kwart over elf.
tijd/11-16	Veertien minuten voor half twaalf.
tijd/11-17	Dertien minuten voor half twaalf.
tijd/11-18	Twaalf minuten voor half twaalf.
tijd/11-19	Elf minuten voor half twaalf.
tijd/11-20	Tien voor half twaalf.
tijd/11-21	Negen minuten voor half twaalf.
tijd/11-22	Acht minuten voor half twaalf.
tijd/11-23	Zeven minuten voor half twaalf.
tijd/11-24	Zes minuten voor half twaalf.
tijd/11-25	Vijf voor half twaalf.
tijd/11-26	Vier minuten voor half twaalf.
tijd/11-27	Drie minuten voor half twaalf.
tijd/11-28	Twee minuten voor half twaalf.
tijd/11-29	Één minuut voor half twaalf.
tijd/11-30	Half twaalf.
tijd/11-31	Één minuut over half twaalf.
tijd/11-32	Twee minuten over half twaalf.
tijd/11-33	Drie minuten over half twaalf.
tijd/11-34	Vier minuten over half twaalf.
tijd/11-35	Vijf over half twaalf.
